DOLocationID,PULocationID,RatecodeID,VendorID,congestion_surcharge,extra,fare_amount,improvement_surcharge,mta_tax,passenger_count,payment_type,store_and_fwd_flag,tip_amount,tolls_amount,total_amount,tpep_dropoff_datetime,tpep_pickup_datetime,trip_distance,tpep_pickup_datetime_IST,tpep_dropoff_datetime_IST,TravelTime
68,68,1,2,2.5,0.5,4.0,0.3,0.5,1,1,N,1.0,0.0,8.8,2021-01-01 00:13:07,2021-01-01 00:10:58,.41,2021-01-01 12:40:58,2021-01-01 12:43:07,129
133,233,1,2,2.5,0.5,29.0,0.3,0.5,6,2,N,0.0,0.0,32.8,2021-01-01 01:07:14,2021-01-01 00:49:42,10.22,2021-01-01 13:19:42,2021-01-01 13:37:14,1052
226,161,1,2,2.5,0.5,14.5,0.3,0.5,1,1,N,3.66,0.0,21.96,2021-01-01 00:26:47,2021-01-01 00:12:41,4.13,2021-01-01 12:42:41,2021-01-01 12:56:47,846
41,79,1,2,2.5,0.5,21.5,0.3,0.5,1,1,N,4.0,0.0,29.3,2021-01-01 01:11:05,2021-01-01 00:47:46,6.56,2021-01-01 13:17:46,2021-01-01 13:41:05,1399
249,170,1,1,2.5,3.0,9.5,0.3,0.5,3,1,Y,2.65,0.0,15.95,2021-01-01 01:02:06,2021-01-01 00:52:34,2.3,2021-01-01 13:22:34,2021-01-01 13:32:06,572
233,233,1,1,2.5,3.0,4.5,0.3,0.5,0,1,N,2.0,0.0,10.3,2021-01-01 00:47:58,2021-01-01 00:45:06,.80,2021-01-01 13:15:06,2021-01-01 13:17:58,172
142,151,1,2,2.5,0.5,8.5,0.3,0.5,2,2,N,0.0,0.0,12.3,2021-01-01 00:27:10,2021-01-01 00:18:36,1.66,2021-01-01 12:48:36,2021-01-01 12:57:10,514
141,170,1,2,2.5,0.5,9.0,0.3,0.5,1,1,N,3.84,0.0,16.64,2021-01-01 00:55:41,2021-01-01 00:48:39,2.49,2021-01-01 13:18:39,2021-01-01 13:25:41,422
232,137,1,2,2.5,0.5,9.0,0.3,0.5,1,2,N,0.0,0.0,12.8,2021-01-01 00:17:32,2021-01-01 00:11:49,2.44,2021-01-01 12:41:49,2021-01-01 12:47:32,343
48,141,1,2,2.5,0.5,10.0,0.3,0.5,1,2,N,0.0,0.0,13.8,2021-01-01 01:11:41,2021-01-01 00:59:34,1.97,2021-01-01 13:29:34,2021-01-01 13:41:41,727
142,230,1,2,2.5,0.5,6.0,0.3,0.5,3,2,N,0.0,0.0,9.8,2021-01-01 00:30:20,2021-01-01 00:24:52,1.08,2021-01-01 12:54:52,2021-01-01 13:00:20,328
143,48,1,2,2.5,0.5,5.5,0.3,0.5,1,1,N,2.79,0.0,12.09,2021-01-01 00:51:49,2021-01-01 00:46:50,1.11,2021-01-01 13:16:50,2021-01-01 13:21:49,299
233,230,5,1,0.0,0.0,40.0,0.3,0.0,2,1,N,0.0,0.0,40.3,2021-01-01 00:46:53,2021-01-01 00:17:57,10.4,2021-01-01 12:47:57,2021-01-01 13:16:53,1736
61,45,1,2,2.5,0.5,21.5,0.3,0.5,1,1,N,5.06,0.0,30.36,2021-01-01 00:32:52,2021-01-01 00:09:14,5.97,2021-01-01 12:39:14,2021-01-01 13:02:52,1418
230,100,1,1,2.5,3.0,14.5,0.3,0.5,2,1,N,3.65,0.0,21.95,2021-01-01 00:56:13,2021-01-01 00:33:19,1.8,2021-01-01 13:03:19,2021-01-01 13:26:13,1374
255,132,1,2,0.0,0.5,42.5,0.3,0.5,2,1,N,10.95,0.0,54.75,2021-01-01 00:48:05,2021-01-01 00:27:18,15.73,2021-01-01 12:57:18,2021-01-01 13:18:05,1247
236,141,1,1,2.5,3.0,5.5,0.3,0.5,2,1,N,1.85,0.0,11.15,2021-01-01 00:56:24,2021-01-01 00:52:46,1.2,2021-01-01 13:22:46,2021-01-01 13:26:24,218
239,68,1,2,2.5,0.5,12.0,0.3,0.5,2,2,N,0.0,0.0,15.8,2021-01-01 01:01:37,2021-01-01 00:49:06,3.47,2021-01-01 13:19:06,2021-01-01 13:31:37,751
48,249,1,2,2.5,0.5,9.5,0.3,0.5,4,1,N,2.66,0.0,15.96,2021-01-01 00:13:57,2021-01-01 00:03:23,2.15,2021-01-01 12:33:23,2021-01-01 12:43:57,634
65,113,1,1,2.5,3.0,13.5,0.3,0.5,1,1,N,3.45,0.0,20.75,2021-01-01 01:12:38,2021-01-01 00:58:21,3.5,2021-01-01 13:28:21,2021-01-01 13:42:38,857
100,162,1,1,2.5,3.0,8.5,0.3,0.5,1,3,N,0.0,0.0,12.3,2021-01-01 01:07:02,2021-01-01 00:58:30,1.7,2021-01-01 13:28:30,2021-01-01 13:37:02,512
41,161,1,2,2.5,0.5,12.0,0.3,0.5,1,1,N,3.16,0.0,18.96,2021-01-01 00:34:22,2021-01-01 00:22:23,3.46,2021-01-01 12:52:23,2021-01-01 13:04:22,719
43,162,1,2,2.5,0.5,7.5,0.3,0.5,1,1,N,2.26,0.0,13.56,2021-01-01 00:55:45,2021-01-01 00:47:48,1.38,2021-01-01 13:17:48,2021-01-01 13:25:45,477
142,48,1,2,2.5,0.5,8.0,0.3,0.5,1,1,N,2.36,0.0,14.16,2021-01-01 00:41:51,2021-01-01 00:35:17,1.91,2021-01-01 13:05:17,2021-01-01 13:11:51,394
262,231,1,2,2.5,0.5,22.0,0.3,0.5,2,2,N,0.0,0.0,25.8,2021-01-01 01:16:10,2021-01-01 00:59:53,7.27,2021-01-01 13:29:53,2021-01-01 13:46:10,977
75,43,1,2,2.5,0.5,7.0,0.3,0.5,2,1,N,2.16,0.0,12.96,2021-01-01 00:31:01,2021-01-01 00:25:10,1.44,2021-01-01 12:55:10,2021-01-01 13:01:01,351
262,141,1,1,2.5,3.0,5.5,0.3,0.5,1,1,N,1.85,0.0,11.15,2021-01-01 00:51:52,2021-01-01 00:47:35,1.1,2021-01-01 13:17:35,2021-01-01 13:21:52,257
233,48,1,1,2.5,3.0,12.0,0.3,0.5,2,1,N,1.58,0.0,17.38,2021-01-01 00:26:40,2021-01-01 00:11:44,2.7,2021-01-01 12:41:44,2021-01-01 12:56:40,896
213,162,1,2,2.5,0.5,30.5,0.3,0.5,1,2,N,0.0,0.0,34.3,2021-01-01 01:08:13,2021-01-01 00:47:28,10.86,2021-01-01 13:17:28,2021-01-01 13:38:13,1245
181,230,1,2,2.5,0.5,30.0,0.3,0.5,1,1,N,6.76,0.0,40.56,2021-01-01 01:29:28,2021-01-01 00:55:27,8.89,2021-01-01 13:25:27,2021-01-01 13:59:28,2041
170,170,1,2,2.5,0.5,6.0,0.3,0.5,1,1,N,1.5,0.0,11.3,2021-01-01 01:05:45,2021-01-01 00:59:47,.81,2021-01-01 13:29:47,2021-01-01 13:35:45,358
162,107,1,2,2.5,0.5,7.0,0.3,0.5,1,1,N,2.16,0.0,12.96,2021-01-01 00:36:42,2021-01-01 00:31:51,1.95,2021-01-01 13:01:51,2021-01-01 13:06:42,291
229,141,1,1,2.5,3.0,5.0,0.3,0.5,1,2,Y,0.0,0.0,8.8,2021-01-01 00:44:23,2021-01-01 00:41:41,1.1,2021-01-01 13:11:41,2021-01-01 13:14:23,162
75,75,5,1,0.0,0.0,10.0,0.3,0.0,2,1,Y,0.0,0.0,10.3,2021-01-01 00:01:40,2021-01-01 00:01:19,.00,2021-01-01 12:31:19,2021-01-01 12:31:40,21
48,125,1,2,2.5,0.5,11.5,0.3,0.5,1,2,N,0.0,0.0,15.3,2021-01-01 00:41:00,2021-01-01 00:30:06,3.26,2021-01-01 13:00:06,2021-01-01 13:11:00,654
142,141,1,2,2.5,0.5,8.0,0.3,0.5,1,1,N,1.18,0.0,12.98,2021-01-01 00:35:59,2021-01-01 00:28:48,1.78,2021-01-01 12:58:48,2021-01-01 13:05:59,431
151,75,1,2,0.0,0.5,7.5,0.3,0.5,1,1,N,2.2,0.0,11.0,2021-01-01 00:38:05,2021-01-01 00:32:26,1.89,2021-01-01 13:02:26,2021-01-01 13:08:05,339
236,151,1,2,2.5,0.5,8.5,0.3,0.5,2,1,N,2.0,0.0,14.3,2021-01-01 00:20:50,2021-01-01 00:12:52,1.89,2021-01-01 12:42:52,2021-01-01 12:50:50,478
170,68,1,2,2.5,0.5,9.5,0.3,0.5,1,2,N,0.0,0.0,13.3,2021-01-01 00:21:10,2021-01-01 00:10:26,2.09,2021-01-01 12:40:26,2021-01-01 12:51:10,644
130,100,1,1,2.5,3.0,41.5,0.3,0.5,1,3,N,0.0,0.0,45.3,2021-01-01 01:20:18,2021-01-01 00:46:41,14,2021-01-01 13:16:41,2021-01-01 13:50:18,2017
43,141,1,2,2.5,0.5,8.0,0.3,0.5,1,2,N,0.0,0.0,11.8,2021-01-01 00:52:49,2021-01-01 00:44:27,1.65,2021-01-01 13:14:27,2021-01-01 13:22:49,502
50,68,1,1,2.5,3.0,5.5,0.3,0.5,1,3,N,0.0,0.0,9.3,2021-01-01 00:39:11,2021-01-01 00:34:38,.70,2021-01-01 13:04:38,2021-01-01 13:09:11,273
41,151,1,2,0.0,0.5,5.5,0.3,0.5,1,2,N,0.0,0.0,6.8,2021-01-01 00:55:32,2021-01-01 00:51:29,1.06,2021-01-01 13:21:29,2021-01-01 13:25:32,243
144,48,1,2,2.5,0.5,13.5,0.3,0.5,1,1,N,3.46,0.0,20.76,2021-01-01 00:50:29,2021-01-01 00:33:02,3.22,2021-01-01 13:03:02,2021-01-01 13:20:29,1047
48,161,1,2,2.5,0.5,10.5,0.3,0.5,2,1,N,1.0,0.0,15.3,2021-01-01 00:22:22,2021-01-01 00:07:43,1.61,2021-01-01 12:37:43,2021-01-01 12:52:22,879
